station_id,station_name,x,y,z,vtol_z,ground_access_capacity,ground_access_freespeed,flight_access_capacity,flight_access_freespeed,preflighttime,postflighttime,defaultwaittime
1,airport,683150.352054,4827858.037145,0,500,9999,100,9999,42,120,30,60
2,city center,683278.519111,4823804.954122,0,500,9999,100,9999,42,120,30,60
3,augustana university,680217,4819619,0,500,9999,100,9999,42,120,30,60
4,university center,680314,4830197,0,500,9999,100,9999,42,120,30,60
5,avera mckennan hospital,684999,4822083,0,500,9999,100,9999,42,120,30,60
6,w 12th street,680918,4823314,0,500,9999,100,9999,42,120,30,60
7,e 10th street,686013,4824039,0,500,9999,100,9999,42,120,30,60
8,s minnesota ave,683381,4820465,0,500,9999,100,9999,42,120,30,60
9,n cliff ave,684710.361549,4830463.141353,0,500,9999,100,9999,42,120,30,60
10,n cbd,681980,4825778,0,500,9999,100,9999,42,120,30,60